Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-20,2015-11-20,2015-11-20,2015-11-20,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Courtyard by Marriott New York Manhattan Times Square,10,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,79,-1,38,40,53,-1,-1,-1,21,19,-1,31,30,25,-1,51,37,-1,-1,-1,47,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,30,28,-1,6,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,33,-1,30,34,37,-1,-1,-1,69,-1
Courtyard by Marriott New York Manhattan Upper East Side,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,29,-1,-1
Crowne Plaza Times Square Manhattan,-1,-1,-1,-1,11,12,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,32,34,-1,-1,-1,-1,75,100,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,22,25,27,-1,-1,-1,47,-1,85,86,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,30,59,21,-1,18,54,-1,-1,12,53,-1,-1,19,57,-1,-1,57,58,-1,-1,63,30,-1,-1,47,-1,-1,-1,35,-1,-1,-1,30,-1,22,-1,10,11,13,-1,0,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1
Days Inn Bronx Near Stadium,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DoubleTree Suites by Hilton New York City - Times Square,-1,-1,35,-1,15,14,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,47,-1,-1,-1,58,31,31,-1,40,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,63,67,64,55,-1,36,41,-1,-1,-1,-1,88,-1,-1,78,-1,-1,-1,-1,-1,74,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,18,-1,-1,4,6,-1,15,6,7,-1,-1,3,32,-1,-1,-1,-1,-1,4,4,3,-1,-1,9,-1,-1,10,4,2,-1,14,17,17,-1,-1,-1,0,0,-1,21,21,-1,-1,33,29,30,27,16,13,-1,22,15,23,-1
DoubleTree by Hilton Hotel New York - Times Square South,5,9,-1,17,15,11,-1,-1,-1,-1,-1,9,0,10,-1,2,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,33,34,36,33,38,37,-1,36,34,-1,-1,-1,42,-1,-1,-1,-1,39,21,17,16,-1,42,42,47,-1,29,26,21,26,22,25,-1,100,90,86,47,30,-1,-1,29,-1,30,28,-1,39,-1,-1,28,-1,43,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,28,-1,26,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,20,-1,17,-1,21,-1,-1,25,-1,23,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,12,14,14,-1,-1,24,-1,-1,22,16,-1,11,11,19,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,11,-1,-1,-1,17,-1,-1,-1,-1,-1
DoubleTree by Hilton Hotel Newark Airport,27,14,20,-1,6,11,-1,-1,27,10,20,-1,-1,-1,-1,-1,6,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,37,44,100,13,41,55,-1,39,17,25,-1,8,14,-1,-1,-1,-1,-1,-1,61,34,39,-1,30,34,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,27,-1,22,27,-1,-1,-1,-1,-1,-1,-1,37,44,42,30,34,41,-1,-1,31,39,-1,28,31,44,-1,25,25,25,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,20,27,22,-1,31,27,28,36,31,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,33,-1,-1,-1,-1,-1,-1,16,2,0,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DoubleTree by Hilton Metropolitan - New York City,9,11,26,24,-1,-1,4,9,14,-1,-1,-1,20,-1,-1,-1,-1,13,20,-1,-1,9,-1,-1,61,70,73,72,-1,48,-1,-1,85,77,62,57,94,80,97,100,-1,61,-1,-1,76,66,43,-1,51,54,88,55,50,50,50,51,53,50,50,64,88,98,88,74,58,55,76,50,42,29,29,-1,65,60,47,-1,67,-1,-1,64,55,-1,52,53,-1,-1,73,68,67,-1,66,60,-1,-1,44,-1,-1,48,59,-1,-1,68,36,-1,-1,24,30,30,-1,30,17,16,37,19,24,-1,25,30,49,49,-1,31,-1,-1,19,27,24,35,15,14,14,13,46,19,30,24,14,46,-1,18,11,0,5,6,26,26,23,12,-1,16,-1,-1,20,30,26,17,69,62,41,38
DoubleTree by Hilton New York City - Chelsea,33,30,33,37,-1,29,-1,-1,45,35,20,33,-1,34,40,26,39,29,-1,-1,-1,-1,34,-1,-1,-1,71,63,-1,45,-1,78,-1,-1,63,-1,-1,-1,84,75,-1,46,-1,-1,59,59,-1,55,61,73,72,62,-1,65,-1,58,-1,75,-1,-1,85,86,-1,81,-1,-1,100,80,-1,56,57,-1,65,67,65,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,55,48,-1,-1,61,-1,-1,-1,-1,-1,-1,-1,47,43,49,47,41,41,40,37,49,49,53,-1,-1,68,-1,-1,-1,62,45,72,39,42,40,-1,37,33,28,27,43,39,33,43,-1,-1,22,29,-1,0,2,4,-1,14,12,10,-1,-1,10,21,-1,-1,-1,-1,45,50,49,60
DoubleTree by Hilton New York City - Financial District,33,44,45,53,-1,33,27,30,29,28,28,32,19,21,38,26,28,23,13,13,28,23,22,-1,49,93,-1,55,-1,-1,-1,-1,83,95,78,54,-1,-1,100,92,-1,-1,76,63,66,76,-1,-1,72,76,78,62,79,63,58,-1,72,78,86,87,-1,99,-1,95,61,-1,91,78,-1,-1,56,63,98,90,-1,88,67,-1,88,74,60,62,58,61,-1,-1,-1,-1,-1,55,75,53,-1,43,57,24,67,65,36,-1,76,67,50,-1,34,39,34,50,-1,-1,60,40,54,46,44,35,-1,-1,47,-1,-1,41,44,54,26,26,30,45,-1,37,33,35,38,-1,54,-1,29,-1,-1,-1,10,7,3,0,-1,5,6,9,-1,20,-1,-1,-1,33,-1,-1,-1,65,-1,-1
Dumont NYC-an Affinia hotel,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,93,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,96,79,33,37,81,83,20,22,52,58,73,38,27,7,81,-1,-1,-1,55,-1,-1,-1,-1,-1,42,-1,-1,39,39,61,-1,-1,-1,-1,-1,-1,90,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,73,68,-1,-1,49,-1,-1,47,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eventi Hotel a Kimpton Hotel,2,3,4,5,-1,4,3,0,-1,12,14,17,3,0,6,4,-1,-1,17,-1,-1,17,2,8,-1,-1,-1,-1,37,47,51,76,-1,70,-1,-1,-1,67,70,76,-1,35,35,-1,-1,42,38,-1,-1,-1,59,65,-1,-1,-1,-1,66,-1,52,66,100,-1,-1,-1,48,62,68,-1,57,60,47,46,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,-1,71,-1,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,73,46,38,34,36,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,37,44,42,32,36,45,47,42,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fairfield Inn by Marriott LaGuardia Airport Flushing,71,85,100,-1,-1,-1,85,28,57,28,50,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,64,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,35,-1,-1,35,-1,-1,-1,-1,-1,85,-1,85,57,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,42,14,-1,-1,28,-1,-1,-1,35,50,-1,-1,-1,-1,-1,-1,50,14,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,78,78,-1,-1,-1,-1,-1,28,28,28,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,0,-1,-1,0,-1,-1,-1,-1,-1,-1
Four Seasons Hotel New York,1,5,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,5,-1,-1,0,2,-1,-1,-1,-1,-1,-1,52,52,56,62,-1,-1,52,47,56,50,52,72,56,56,63,61,44,44,44,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,48,57,53,37,63,100,-1,-1,53,53,-1,37,39,42,34,37,39,-1,32,32,39,35,49,67,48,53,-1,-1,48,-1,57,50,53,53,47,42,39,42,34,37,39,44,42,39,37,34,44,44,48,56,47,44,53,42,44,44,39,49,56,44,55,-1,44,53,50,-1,-1,-1,-1,56,-1,-1,53,56,-1,-1,53,-1,44,44,46,49,-1,-1,-1,-1,42,39,37,34,42,32,32,32,32,32,32,34,32,39,37,38,46,48,42,-1
GEM Hotel - Chelsea an Ascend Hotel Collection Member,-1,-1,34,-1,-1,30,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,69,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,76,84,-1,-1,-1,-1,-1,-1,62,66,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,31,-1,52,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,44,31,27,-1,-1,57,46
Gild Hall A Thompson Hotel,54,47,46,-1,-1,-1,-1,-1,44,38,40,-1,30,30,33,27,26,-1,-1,-1,-1,-1,-1,-1,53,47,53,54,-1,-1,54,48,-1,66,60,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,82,94,75,-1,84,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,69,70,57,49,59,-1,-1,59,-1,-1,55,46,58,63,-1,-1,-1,-1,-1,-1,-1,-1,63,65,72,70,52,-1,49,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,44,53,57,43,32,45,-1,25,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,5,-1,-1,47,51,-1,39,19,77,100
Grand Hyatt New York,27,32,36,38,25,18,22,19,-1,-1,-1,22,12,27,27,35,18,19,21,20,29,26,-1,26,-1,-1,-1,79,53,-1,53,-1,79,-1,51,46,-1,-1,-1,100,72,72,71,64,73,-1,56,64,-1,-1,-1,54,-1,63,53,47,72,68,56,-1,-1,80,71,73,64,-1,64,60,-1,-1,-1,58,-1,71,69,73,-1,-1,-1,-1,-1,-1,-1,86,-1,-1,62,71,78,69,79,-1,-1,69,62,-1,80,71,72,75,-1,67,67,66,50,51,50,68,-1,-1,-1,-1,56,59,51,65,74,61,71,-1,52,38,49,51,25,32,36,38,38,28,29,23,-1,45,35,46,29,45,43,17,0,6,24,32,23,-1,-1,16,20,32,24,11,-1,69,45,34,77,71,65,-1
Hampton Inn & Suites Staten Island,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,19,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hampton Inn JFK Airport,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,100,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,56,-1,-1,-1,31,27,40,36,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,56,56,-1,-1,46,56,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hampton Inn Madison Square Garden Area Hotel,29,25,29,28,-1,22,-1,-1,34,18,20,33,9,9,9,30,-1,7,24,-1,-1,9,10,-1,-1,-1,53,51,34,36,42,50,-1,54,43,-1,62,62,72,-1,-1,-1,-1,-1,-1,60,31,-1,54,99,66,69,-1,100,-1,-1,-1,-1,-1,49,58,-1,-1,62,44,50,59,49,-1,50,48,-1,49,48,46,44,-1,-1,-1,50,-1,-1,46,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,23,26,29,30,-1,31,31,20,-1,31,27,-1,38,31,-1,-1,-1,-1,-1,-1,22,22,25,23,-1,-1,24,-1,-1,-1,22,22,-1,26,-1,-1,-1,0,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,30,-1,25
Hampton Inn Manhattan Downtown-Financial District,-1,28,31,-1,13,15,-1,-1,-1,-1,31,-1,14,12,15,-1,-1,10,8,-1,16,8,-1,-1,82,62,53,-1,-1,-1,-1,-1,96,-1,-1,-1,-1,65,75,97,56,59,81,84,75,64,69,53,-1,-1,-1,-1,64,-1,-1,-1,84,-1,82,70,97,100,-1,-1,70,68,89,-1,43,48,-1,-1,-1,-1,65,68,80,64,79,-1,46,41,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,43,53,49,51,-1,47,-1,-1,51,44,49,46,38,33,49,48,38,32,-1,-1,49,44,34,37,57,48,49,-1,-1,49,45,50,34,28,34,55,-1,21,17,21,31,21,20,30,-1,47,58,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,43,-1
Hampton Inn Manhattan Soho,34,41,51,49,-1,-1,37,-1,-1,32,56,56,28,35,63,-1,-1,-1,19,21,-1,21,25,39,60,63,-1,68,56,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,82,-1,-1,-1,-1,58,65,-1,89,68,65,73,52,56,-1,-1,-1,-1,-1,-1,100,-1,-1,75,82,78,80,-1,53,75,-1,-1,-1,-1,46,-1,48,53,78,51,73,75,48,45,65,-1,49,46,-1,48,39,53,-1,39,35,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,75,32,-1,-1,-1,29,29,44,38,-1,-1,-1,-1,41,51,28,26,29,-1,47,25,19,21,-1,32,33,-1,36,41,40,41,-1,2,0,-1,7,6,8,14,-1,24,26,-1,43,36,34,30,-1,45,43,-1
Hampton Inn Manhattan Times Square Central,34,28,-1,-1,19,15,12,8,-1,28,35,-1,60,-1,18,39,39,-1,3,39,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,-1,88,100,55,43,35,35,57,73,32,-1,-1,-1,-1,-1,44,48,50,45,-1,28,19,26,49,16,28,34,-1,28,49,29,31,30,23,30,49,51,49,-1,62,51,-1,46,-1,44,-1,-1,54,-1,-1,-1,-1,-1,28,-1,22,22,-1,24,-1,-1,19,-1,-1,19,-1,-1,-1,19,21,-1,-1,-1,45,45,-1,38,38,19,-1,-1,18,24,-1,-1,-1,-1,19,-1,-1,20,-1,10,7,11,-1,1,15,4,43,-1,18,-1,-1,37,31,-1,26,20,22,46
Hampton Inn Manhattan Times Square South,18,-1,25,44,22,20,18,16,15,20,16,24,13,13,14,16,-1,-1,-1,-1,-1,14,9,10,100,-1,-1,-1,57,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,-1,67,-1,-1,66,67,-1,-1,64,79,72,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,86,91,55,50,55,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,46,-1,-1,-1,-1,-1,-1,-1,-1,27,29,29,31,-1,-1,-1,-1,-1,-1,-1,-1,30,32,33,-1,-1,28,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,25,25,28
Hampton Inn Manhattan United Nations,17,19,21,59,-1,21,46,18,25,25,24,37,16,23,26,29,-1,-1,26,-1,-1,-1,-1,-1,82,79,89,-1,56,51,46,37,58,54,41,-1,-1,-1,-1,-1,63,49,40,41,60,40,41,56,-1,-1,100,-1,-1,56,40,31,60,54,37,70,87,91,-1,-1,45,33,40,40,-1,-1,56,-1,63,70,73,87,53,65,75,55,-1,-1,51,54,75,66,74,-1,48,46,48,50,43,54,50,38,49,50,39,43,-1,-1,48,-1,30,33,36,-1,-1,31,33,28,45,31,33,34,51,50,-1,-1,37,47,50,-1,21,34,29,25,-1,-1,26,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,4,4,22,25,36,-1,33,25,-1,-1,37,-1,58,47,60,66
Hampton Inn Manhattan-Seaport-Financial District,-1,-1,-1,-1,44,38,37,27,-1,29,31,-1,-1,29,43,-1,-1,-1,-1,0,-1,24,20,21,-1,78,-1,-1,-1,88,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,82,86,78,-1,-1,77,79,92,89,92,95,-1,63,66,62,75,100,97,90,-1,-1,-1,-1,-1,-1,84,95,-1,96,97,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,80,-1,-1,62,57,-1,71,63,-1,-1,-1,52,55,-1,43,45,62,63,-1,53,-1,-1,54,44,43,40,49,48,45,-1,50,42,44,47,35,37,60,-1,56,51,36,36,47,42,41,37,32,44,49,-1,-1,8,6,13,-1,15,25,16,35,-1,-1,47,-1,41,40,21,-1,56,52,48
Hampton Inn New York - 35th Street - Empire State Building,-1,32,32,-1,-1,33,33,29,-1,-1,41,-1,-1,-1,-1,20,-1,-1,16,-1,-1,22,-1,-1,48,-1,-1,46,-1,30,37,-1,-1,68,52,59,80,-1,100,-1,-1,-1,-1,-1,-1,61,62,-1,-1,70,67,-1,-1,-1,-1,68,-1,-1,-1,-1,93,92,95,84,-1,57,60,60,56,60,-1,-1,53,47,42,41,70,71,65,68,-1,-1,-1,-1,80,66,72,72,61,64,64,76,-1,-1,-1,-1,58,46,43,48,-1,41,43,-1,30,30,32,34,44,39,32,25,40,38,30,29,-1,36,-1,-1,-1,40,-1,-1,-1,35,-1,24,32,33,15,25,31,30,30,19,20,17,31,36,0,1,6,12,-1,14,14,9,-1,22,19,27,-1,26,17,19,-1,48,40,41
Hampton Inn New York - LaGuardia Airport,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hampton Inn New York Chelsea,-1,-1,-1,-1,-1,33,31,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,79,94,84,87,-1,-1,-1,-1,100,90,83,79,89,67,67,62,-1,-1,-1,-1,-1,-1,-1,66,96,76,71,67,-1,-1,-1,-1,-1,-1,-1,-1,78,74,-1,71,81,68,-1,-1,-1,-1,-1,-1,-1,71,70,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,75,75,43,44,-1,-1,-1,-1,-1,-1,-1,-1,56,52,-1,42,57,-1,50,59,-1,-1,-1,-1,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,30,-1,-1,36,43,-1,50,-1,-1
